1894 QUESTION  How far is it from Earth to Mars?
2083 QUESTION  What breed of horse was used to found the Lipizzaner?
2084 QUESTION  How many home runs did Babe Ruth hit?
2085 QUESTION  How close is Mesa to Phoenix?
2086 QUESTION  What is the study of ants called?
2087 QUESTION  What Canadian city has the largest population?
2088 QUESTION  How many rooms are in the White House?
2089 QUESTION  On what Caribbean Island was Ponce de Leon governor?
2090 QUESTION  What Ridley Scott movie is set in 180 a.d.?
2091 QUESTION  What is Eminem's real name?
2092 QUESTION  When was the telegraph invented?
2093 QUESTION  Which city is home to Superman?
2094 QUESTION  When was JFK born?
2098 QUESTION  What player has been the home run champion of the national league seven times?
2099 QUESTION  What comedy team was John Cleese part of?
2100 QUESTION  What did Caesar say before he died?
2101 QUESTION  What country was Catherine the Great from?
2102 QUESTION  What American landmark stands on Liberty Island?
2103 QUESTION  What confederate general was responsible for the defeat at Gettysburg?
2104 QUESTION  When was the submarine invented?
2105 QUESTION  What country produces the most silk?
2106 QUESTION  What is Barbie's full name?
2107 QUESTION  What is the currency of Denmark?
2109 QUESTION  When was the U.N. created?
2110 QUESTION  what is Speedy Claxton's real name?
2111 QUESTION  How many times have the Yankees won the World Series?
2115 QUESTION  In what Canadian province are most people of French descent?
2116 QUESTION  How cold is Lake George?
2117 QUESTION  What college did Marcus Camby play for?
2118 QUESTION  How many brothers and sisters does Fidel Castro have?
2119 QUESTION  When is Jennifer Lopez's birthday?
2120 QUESTION  What does "CBS" (television network) stand for?
2121 QUESTION  What artist recorded the song "At Last" in the 40's or 50's?
2122 QUESTION  What is the inner peel of an orange called?
2123 QUESTION  When was John Lennon born?
2124 QUESTION  What organization did Paul Konerko first play major league baseball with?
2126 QUESTION  What altitude is Orange City, Florida?
2127 QUESTION  What country did Panama gain its independence from?
2128 QUESTION  What flavor filling did the original Twinkies have?
2129 QUESTION  How many home runs did Henry "Hank" Aaron hit in his major league career?
2131 QUESTION  Who is the mayor of San Francisco?
2133 QUESTION  When was Abraham Lincoln born?
2134 QUESTION  What is Motley Crue's Nikki Sixx's real name?
2135 QUESTION  How accurate are HIV tests?
2136 QUESTION  How many moons does Neptune have?
2139 QUESTION  What gas is 78 percent of the earth's atmosphere?
2140 QUESTION  What day did Martin Luther King, Jr. get assassinated?
2141 QUESTION  How many justices does the United States Supreme Court have?
2142 QUESTION  When was Listerine first put on the market?
2143 QUESTION  How did John Dillinger die?
2144 QUESTION  What Bob Dylan song is in a Disney movie?
2145 QUESTION  What does a theodolite measure?
2149 QUESTION  How many Olympic gold medals did Carl Lewis win?
2151 QUESTION  What cathedral is in Claude Monet's paintings?
2152 QUESTION  When was the Great Wall of China built?
2153 QUESTION  What date did the Lusitania sink?
2154 QUESTION  What is egg white called?
2155 QUESTION  What country is home to Sabena Airlines?
2156 QUESTION  How fast does Randy Johnson throw?
2157 QUESTION  What state had the most signers of the Declaration of Independence?
2159 QUESTION  What country singer's first album was titled "Storms of Life"?
2160 QUESTION  What is the body temperature of a dog?
2161 QUESTION  What is the nickname for the national New Zealand basketball team?
2162 QUESTION  How high is the net on a regulation ping pong table?
2164 QUESTION  How did Julius Irving's son die?
2165 QUESTION  What date was the Declaration of Independence signed on?
2166 QUESTION  How did George Wallace's father die?
2167 QUESTION  How often is someone murdered in the U.S.?
2168 QUESTION  What country produces the most emeralds?
2169 QUESTION  What day did Pearl Harbor occur?
2170 QUESTION  How often does the men's soccer World Cup take place?
2171 QUESTION  How big do iguanas get?
2173 QUESTION  What is the "Playboy" logo?
2175 QUESTION  What country did Iraq invade in 1990?
2176 QUESTION  when was Dante's "Inferno" written?
2178 QUESTION  How high is Mt. Hood?
2179 QUESTION  What famous verse did Sarah Hale write in 1830?
2181 QUESTION  How many people can be seated in Yankee Stadium?
2182 QUESTION  How far is the Titanic under water?
2184 QUESTION  What Liverpool club spawned the Beatles?
2185 QUESTION  How long do mourning doves live?
2186 QUESTION  What are the measurements for a king-size bed?
2187 QUESTION  What is the big prize called in Canadian football?
2188 QUESTION  Who sang "Tennessee Waltz"?
2189 QUESTION  What animal can go the longest without water?
2190 QUESTION  What country is Hyundai from?
2191 QUESTION  What city is the gateway arch located in?
2192 QUESTION  How did Malcolm X die?
2193 QUESTION  How many feet above sea level is Jerusalem?
2194 QUESTION  What are brake pads made of?
2195 QUESTION  When was Ronald Reagan shot?
2196 QUESTION  What ocean are the Gilbert Islands in?
2197 QUESTION  What is the name of the unmanned space craft sent to Mars by NASA?
2198 QUESTION  What is the name of the Chief Justice of the Supreme Court?
2199 QUESTION  What band was Jimmy Page in before Led Zeppelin?
2200 QUESTION  How big is a keg?
2202 QUESTION  How many interceptions did Joe Montana throw in four Superbowls?
2204 QUESTION  What actor has a tattoo on his right wrist reading "Scotland forever"?
2205 QUESTION  How many cabinet officers are there?
2206 QUESTION  How much did Marilyn Monroe weigh?
2209 QUESTION  What is the term for arable land left unseeded for one season?
2210 QUESTION  How many grams in an ounce?
2211 QUESTION  How large of a litter does a rat have at one time?
2212 QUESTION  What country artist is nicknamed Tater?
2213 QUESTION  What are baby turkeys called?
2214 QUESTION  What country other than Germany has German as its official language?
2215 QUESTION  What are sounds too low for humans to hear called?
2216 QUESTION  How did Dennis Brown die?
2217 QUESTION  What country does Greenland belong to?
2218 QUESTION  What company manufactures Van Heusen shirts?
2219 QUESTION  How tall is Al Pacino?
2220 QUESTION  What president is on the thousand dollar bill?
2223 QUESTION  When was the first camera invented?
2225 QUESTION  What modern country is home to the ancient city of Babylon?
2226 QUESTION  When was abortion legalized in the U.S.?
2227 QUESTION  What is the Bluegrass state?
2228 QUESTION  What country was the Battle of Verdun fought in?
2230 QUESTION  What dam is said the be the largest hydroelectric station in the world?
2231 QUESTION  What is a word spelled the same backward and forward called?
2232 QUESTION  What daughter of Czar Nicholas II is said to have escaped death in the Russian revolution?
2233 QUESTION  How far is a 3-point line from the basketball goal in the NBA?
2235 QUESTION  What is the highest mountain in South America?
2236 QUESTION  What country's flag flies over the Canary Islands?
2237 QUESTION  What album became the greatest selling album of all time?
2238 QUESTION  How cold is the moon?
2239 QUESTION  What prison is Charles Manson at?
2240 QUESTION  What does the bugler play at the end of the day on a US military base?
2241 QUESTION  How tall is the green monster at Fenway?
2242 QUESTION  What chemical is in chocolate that helps with depression?
2244 QUESTION  What dress size was Marilyn Monroe?
2245 QUESTION  What city is home to almost half of Michelangelo's statues?
2246 QUESTION  What film did Liza Minnelli win a best actress Oscar for?
2247 QUESTION  What major league baseball player has 511 pitching victories?
2248 QUESTION  How many planets are in our solar system?
2249 QUESTION  When was the Panama Canal returned to Panama?
2251 QUESTION  How deep is the Grand Canyon?
2252 QUESTION  What apostle was crucified?
2254 QUESTION  How much does it cost for gastric bypass surgery?
2255 QUESTION  How do you say "I love you" in French?
2257 QUESTION  What is the richest country in the world?
2259 QUESTION  How did Hawaii become a state?
2260 QUESTION  When was the hot air balloon invented?
2261 QUESTION  What college did Magic Johnson go to?
2262 QUESTION  How did Cincinnati get its name?
2263 QUESTION  How big was the Big Gulp sold in 7-Eleven stores in 1980?
2264 QUESTION  How old was Elvis when he died?
2265 QUESTION  How did Marjorie Kinnan Rawlings die?
2266 QUESTION  What substance did Charles Best and Frederick Banting discover in 1922?
2268 QUESTION  what instrument does the concertmaster of an orchestra usually play?
2269 QUESTION  How long is a quarter in an NBA game?
2270 QUESTION  What is capital of Maryland?
2271 QUESTION  What class of drug is Xanax?
2272 QUESTION  How many intelligence agencies does the U.S. have?
2273 QUESTION  Which religion has the largest number of followers worldwide?
2275 QUESTION  How big is the planet Venus?
2276 QUESTION  When was Mariah Carey born?
2277 QUESTION  In which country is Timbuktu?
2278 QUESTION  What are the odds against getting struck by lightning?
2279 QUESTION  How did Jackie Robinson die?
2280 QUESTION  How many rooms does the Las Vegas MGM Grand Hotel have?
2281 QUESTION  What American commodore demanded that Japan trade with the United States?
2282 QUESTION  What canal is between the Mediterranean Sea and the Red Sea?
2283 QUESTION  What is the traditional dish served at Wimbledon?
2284 QUESTION  What Chinese Dynasty was during 1412-1431?
2285 QUESTION  How much does the capitol dome weigh?
2286 QUESTION  What is an Indian flute made of?
2287 QUESTION  What divides Haiti from the Dominican Republic?
2288 QUESTION  What animal is veal from?
2289 QUESTION  What continent is Togo on?
2290 QUESTION  When was the piano made?
2292 QUESTION  What do you call a bone doctor?
2293 QUESTION  How many times a day do observant Muslims pray?
2294 QUESTION  What continent is India on?
2295 QUESTION  What 1857 U.S. Supreme Court decision denied that blacks were citizens?
2296 QUESTION  What national monument was designated as the first national monument in 1906?
2297 QUESTION  What is Britney Spears' middle name?
2298 QUESTION  How many dimples does a regulation golf ball have?
2299 QUESTION  How many mph do you have to go to break the sound barrier?
2300 QUESTION  What country did Marco Polo come from?
2301 QUESTION  What composer wrote "Die Gotterdammerung"?
2302 QUESTION  How much did the first Barbie cost?
2303 QUESTION  What is the longest river in the world?
2305 QUESTION  When is Mexico's Independence Day?
2306 QUESTION  How big is the Great Pyramid?
2307 QUESTION  How many terms was Dwight D. Eisenhower president?
2309 QUESTION  How much calcium is in broccoli?
2310 QUESTION  How many American deaths were there in the Korean war?
2311 QUESTION  How did the Lindy Hop get its name?
2312 QUESTION  How many republics made up the Soviet Union?
2313 QUESTION  What does an English stone equal?
2315 QUESTION  How many tentacles do squids actually have?
2316 QUESTION  What is the largest city in Austria?
2317 QUESTION  What team drafted Brett Favre?
2318 QUESTION  What instrument measures radioactivity?
2319 QUESTION  What common medicine discovered by native Americans is from the bark of a willow tree?
2320 QUESTION  When was the first TV invented?
2323 QUESTION  What American feminist appeared on a silver dollar?
2325 QUESTION  When was the first Superbowl?
2326 QUESTION  How far is it from the pitcher's mound to home plate?
2328 QUESTION  What state was Amelia Earhart born in?
2329 QUESTION  How many muscles are there in the human body?
2330 QUESTION  What river is under New York's George Washington bridge?
2331 QUESTION  What actress has received the most Oscar nominations?
2333 QUESTION  How old do you have to be to join the U.S. Navy?
2334 QUESTION  What did Peter Minuit buy for the equivalent of $24.00?
2335 QUESTION  How did Harry Chapin die?
2336 QUESTION  How many layers of skin do we have?
2337 QUESTION  How did Joseph Smith die?
2338 QUESTION  When was the Titanic built?
2339 QUESTION  How did John Quincy Adams die?
2340 QUESTION  What instrument did the jazz musician Art Tatum play?
2341 QUESTION  When was barbed wire invented?
2342 QUESTION  When was the first televised World Series?
2343 QUESTION  How many people visited Disneyland in 1999?
2344 QUESTION  What city hosted the 1936 Summer Olympics?
2347 QUESTION  Where is Mount Olympus?
2350 QUESTION  How big is the killer whale?
2351 QUESTION  How long before bankruptcy is removed from a credit report?
2352 QUESTION  What engineer designed the Erie Canal?
2353 QUESTION  What did Osama bin Laden's father do for a living?
2354 QUESTION  How did Anne Frank die?
2355 QUESTION  What 20th century American president died at Warm Springs, Georgia?
2356 QUESTION  What instrument did Louis Armstrong play?
2357 QUESTION  What city's biggest shopping district is called the Ginza District?
2358 QUESTION  Who was responsible for the killing of Duncan in "Macbeth"?
2359 QUESTION  What country's soldiers hid in the Trojan horse?
2360 QUESTION  What is the gift for the 20th anniversary?
2361 QUESTION  What stadium was the first televised MLB game played in?
2362 QUESTION  How high is Pikes peak?
2364 QUESTION  How hot does it get in Death Valley?
2365 QUESTION  What body of water does the Colorado River empty into?
2367 QUESTION  How tall is the Washington Monument?
2368 QUESTION  What actress played Betsy in "Betsy's Weeding"?
2370 QUESTION  When was the first potato chip made?
2371 QUESTION  What type of bee drills holes in wood?
2374 QUESTION  What is the tallest statue in the world?
2375 QUESTION  What date did Thomas Jefferson die?
2376 QUESTION  What color belt is first in karate?
2377 QUESTION  What country is the leading producer of rubber?
2378 QUESTION  How did Bob Marley die?
2379 QUESTION  What is the scientific name for red ants?
2380 QUESTION  What is the name of the official residence of the President of France?
2381 QUESTION  What is Horatio's relationship to Hamlet?
2382 QUESTION  What passage has the Ten Commandments?
2383 QUESTION  How did Jerry Garcia Die?
2384 QUESTION  What is the population of Canberra?
2386 QUESTION  How did Harry Houdini die?
2387 QUESTION  What country celebrates Guy Fawkes Day?
2388 QUESTION  what Arthur Miller play recounts his marriage to Marilyn Monroe?
2390 QUESTION  What ancient tribe of Mexico left behind huge stone heads standing 6-11 feet tall?
2391 QUESTION  What president created social security?
2392 QUESTION  When was the Red Cross founded?
2393 QUESTION  What color hair did Thomas Jefferson have before gray?
1894 APW19980923.1395 1 hours, JPL said. After five more months of aerobraking each orbit should take less than two hours. 	   Mars is currently 213 million miles (343 million kilometers) from Earth.
1894 APW19990429.0168 -1 ``The data suggests that Mars was once magnetic and was far more   similar to Earth's global magnetic field than had been previously  assumed,'' Ness said.
1894 APW19990429.0249 -1 ``The data suggests that Mars was once magnetic and was far more   similar to Earth's global magnetic field than had previously  assumed,'' Ness said.
1894 NYT19981211.0308 -1 c.1998 N.Y. Times News Service    <TEXT> <P>    CAPE CANAVERAL, Fla. _ The first of two NASA science probes embarked Friday on a 416-million-mile voyage to Mars, catapulted from Earth by a Boeing Delta 2 rocket. </P> <P>    The spacecraft, called Mar
1894 NYT19990923.0365 1 its farthest point in orbit, it is 249 million miles from Earth. And, so far as anyone knows, there isn't a McDonalds restaurant on the place. </P> <P>    And yet we keep trying to get there. Thirty times in the past 40 years, man has sent a spacecra
1894 APW19990429.0168 -1 LINE> <TEXT> <P> 	WASHINGTON (AP) -- Early in its history, the geology of Mars may   have been much like that of Earth, with molten rock gurgling to the  surface from a hot interior and with crustal plates drifting on the  surface, according to new s
1894 NYT19990923.0363 -1 so see Mars-sider)    By MARK CARREAU  c.1999 Houston Chronicle    <TEXT> <P>    After a trouble-free, 91/2-month voyage from Earth, NASA's Mars Climate Orbiter disappeared early Thursday as it was maneuvering into orbit around the Red Planet. </P> <
1894 NYT20000324.0337 -1 For more than two years, planetary geologist Ken Edgett has been among the first experts to examine the steady stream of photography dispatched to Earth by NASA's Mars Global Surveyor, a small camera-equipped probe that has been circling the Red Plan
1894 NYT20000324.0337 -1 geologist Ken Edgett has been among the first experts to examine the steady stream of photography dispatched to Earth by NASA's Mars Global Surveyor, a small camera-equipped probe that has been circling the Red Planet since September 1997. </P> <P>
1894 NYT19990313.0104 -1 far. </P> <P>    The rain of debris from Mars was hardest, experts agree, in the Earth's early days. And the reverse trip was far less likely because the Sun pulls Earth debris away from Mars and toward itself. </P> <P>    Burns of Cornell and his
1894 XIE19981212.0306 -1 The Orbiter will arrive the red planet in September 1999 after 416 million miles' flight, and begin to track the movement of water vapor and dust in the atmosphere over the entire planet for a full Martian year, or 687 Earth days in a 260-mile-high o
1894 NYT19991122.0091 -1 than the Moon, and a round trip to Mars would take years instead of days. Even at the speed of light, signals from Mars probes take from three to 20 minutes to reach Earth. </P> <P>    Getting there is still a risky business, as the loss of the
1894 NYT19990208.0198 -1 of the solar system and that it is made mostly of ice _ characteristics that seem to show closer kinship with a family of ``Trans-Neptunian Objects'' than with the eight main planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.
1894 APW19990803.0031 -1 Scientists will continue to run computer models to find out how   Braille could have traveled so far. Braille, between the orbit of  Earth and Mars, is about 117 million miles from Earth. Vesta,  between Mars and Jupiter, is 219 million miles away.
1894 APW19980923.1395 1 Mars is currently 213 million miles (343 million kilometers) from Eart
1895 NYT19990810.0082 1 HOURS: During the summer, the park is open from 8 a.m. until midnight. Disneyland goes to a shorter schedule after Labor Day weekend.
1895 APW20000923.0147 -1 Paramedics arrived at the theme park late Friday to find the Southern California boy underneath a vehicle, said Cynthia Harriss, president of Disneyland Resort.
1895 XIE19991222.0030 -1 The manager of Disneyland said the park will be open all days during the festivals at the end of the year and the workers have to live up "to the expectations of the visitors.
1895 NYT19980929.0267 -1 .1998 N.Y. Times News Service    <TEXT> <P>    As usual, Tocqueville had it nailed even before it happened. More than a century before Disneyland opened its doors, the great analyst of modern democracy grasped the spirit of hysteria that infuses the
1895 NYT19991024.0166 -1 ely how to smile, died on Oct. 13 in Newport Beach, Calif. He was 87. </P> <P>    France brought a background in industrial relations to Disneyland, which opened in 1955 in Anaheim, Calif. He spent more than a quarter-century developing training prog
1895 NYT19991101.0486 -1 vice clients)  BY DAVE McNARY  c.1999 Los Angeles Daily News  <TEXT> <P>    &LR; BURBANK _ Maybe the Walt Disney Co. can't straighten out ABC, maybe its Disney Stores are getting stale and apparently its Club Disney concept wasn't popular enough to e
1895 APW19981022.0032 -1 Company officials predict the park, which is being built on 167 acres (67 hectares) of reclaimed shoreline adjacent to Tokyo Disneyland, will draw more than 10 million visitors a year once it opens in 2001.
1895 APW19981022.0032 -1 park, which is being built on 167 acres (67 hectares) of reclaimed shoreline adjacent to Tokyo Disneyland, will draw more than 10 million visitors a year once it opens in 2001. 	   And although Japan is now
1895 NYT20000207.0448 -1 is set to open at Serris, next door to the original park. </P> <P>    On one weekend in late October, when crowds flooded into Disneyland Paris, highways leading to the park were completely blocked by traffic. The addition of the Serris mall, plus
1895 APW19991015.0193 -1 hat taught Disneyland employees  how to sell happiness with a smile, has died at 87.  </P> <P> 	France, who died Thursday of pneumonia, was hired before   Disneyland opened in 1955 to create the training program, called  the University of Disneyland.
1895 NYT19981208.0082 -1 Walt Disney World's new Animal Kingdom theme park is known as the Affection Section. </P> <P>    &QL;   &QL; </P> <P>    And speaking of Disney animals: The Animal Kingdom isn't the first time animals have appeared in a Disney park. When California's
1895 NYT19990810.0082 1 HOURS: During the summer, the park is open from 8 a.m. until midnight. Disneyland goes to a shorter schedule after Labor Day weekend. <
1895 XIE19991222.0030 -1 The manager of Disneyland said the park will be open all days during the festivals at the end of the year and the workers have to live up "to the expectations of the visitor
1896 APW19980601.0778 1 Dame and so begins a story behind those chimes - Disney's Animated StoryBook: The Hunchback of Notre Dame. 	   The story begins with Quasimodo, a meek and mild hunchback. Frollo, a cruel
1896 APW20000121.0140 -1 The musical, based on the story of the Hunchback of Notre Dame, opened in Paris in 1998.
1896 NYT19981021.0168 1 1935). It managed to tempt Welles ahead of the bigger, more successful companies. </P> <P>    He first thought about accepting the role of Quasimodo in ``The </P> <P>    Hunchback of Notre Dame,'' but decided to wait until he was offered a chance to
1896 APW20000802.0077 -1 THOMAS <TEXT> <P>    SANTA MONICA, Calif. (AP) -- She came from Ireland, a flame-haired colleen with extraordinary beauty and fire in her hazel eyes. Maureen O'Hara became the Queen of Technicolor and John Wayne's favorite leading lady. </P> <P>    H
1896 NYT19980709.0283 -1 ve Murray  &HT;    c. 1998 Cox News Service <TEXT> <P>    Action figures come alive, start warring with each other (and any human who gets in their way) and destroy an idyllic small-town neighborhood. </P> <P>    The setup of ``Small Soldiers'' borro
1896 NYT20000910.0005 -1 ``The most critical play of the game was the third-down pass,'' Notre Dame coach Bob Davie said.
1896 NYT20000910.0005 -1 me was the third-down pass,'' Notre Dame coach Bob Davie said. ``I thought they were going with
1896 NYT19990720.0190 -1 The Hunchback of Notre-Dame,'' and what was the history behind the author? _ M.D.H., Fort Worth </P> <P>    A: ``The Hunchback of Notre-Dame'' is the English title of ``Notre-Dame de Paris,'' a French novel written in 1831 by Victor Hugo
1896 NYT20000908.0262 -1 Nebraska fans as well as Notre Dame fans were informed _ if they didn't already know _ that No. 1 Miami came here ranked No. 1 in 1988 and left with a 31-30 loss; and Florida State invaded Notre Dame Stadiuim ranked No. 1 in 1993 and were hit with a
1896 NYT20000314.0357 -1 not geared toward children. It is also the first Disney show that has not been adapted from an animated movie, like ``The Lion King,'' ``Beauty and the Beast'' or ``The Hunchback of Notre Dame,'' which opened to lukewarm notices in Berlin last June,
1896 NYT20000314.0357 -1 its new Hyperion Theatricals unit; the different name is meant to emphasize that the show is not geared toward children. It is also the first Disney show that has not been adapted from an animated movie, like ``The Lion King,'' ``Beauty and the Beast
1896 NYT20000314.0357 -1 Disney is, too. ``Aida'' is the first stage musical it is producing under the umbrella of its new Hyperion Theatricals unit; the different name is meant to emphasize that the show is not geared toward children. It is also the first Disney show that
